# Fairway peer positioning tags for the listed consumer, commerce and marketplace set.
# Keyed on exchange_ticker. These are Fairway's tags, not CapIQ's.
#
# THIS SET USES THE THIRD VOCABULARY FAMILY. It does not share archetypes, functions, revenue
# models, go-to-market motions or product roles with the software and fintech sets, and it adds two
# columns those sets do not have: asset_intensity and purchase_frequency. The reason is measurable.
# Gross margin in the listed software set runs 24% to 98% with a median of 77%, so revenue means
# roughly the same thing from one name to the next. Here it runs 8% to 100% and it is bimodal.
# Across the 62 usable rows, median EV/NTM revenue moves 4.4x between the lowest and highest gross
# margin buckets. Median EV/NTM gross profit moves 2.1x. Most of the apparent valuation gap between
# Carvana and Rightmove is an accounting difference, not a valuation one.
#
# CONSEQUENCE FOR THE REVEAL: for a subject tagged into this family, GROSS PROFIT IS THE PRIMARY
# DENOMINATOR. The reveal shows both multiples and leads with gross profit whenever the subject's
# gross margin sits more than 15 points from the peer group median.
#
# buyer IS THE SIDE THAT BEARS THE MONETISATION, not the side that clicks. eBay and Etsy are SMB
# because the seller pays. Booking is SMB because the hotel pays. Airbnb is CONSUMER because the
# guest pays the larger half. Netflix and YETI are CONSUMER because nobody else pays.
#
# SIZE IS NOT A SELECTION CRITERION here either. It is shown next to each comparable and never
# includes or excludes a name.
#
# in_medians=0 means the row stays visible to the founder and comes out of every median. The reason
# is on the row in what_it_does. Seven rows: Baozun, Autohome, Opendoor, Fiverr, Info Edge,
# Just Dial and FuboTV.
#
# product_tags are the words a founder or their website would actually use. They are the highest
# weighted field in the selector, capped at 12 points against 3 for the archetype, because a
# founder's own vocabulary is the strongest signal of what they are.
exchange_ticker,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,asset_intensity,purchase_frequency,ai_stance,in_medians,product_tags,what_it_does
XTRA:ZAL,Zalando SE,Owned-Inventory Retail,Third-Party Marketplace,Apparel & Beauty,Commerce Operations,CONSUMER,PAID_ACQUISITION,GMV_RETAIL,DESTINATION,RESALE_INVENTORY,REPEAT_TRANSACTION,AI_NEUTRAL,1,Online Fashion|Apparel E-commerce|Owned Inventory|Wholesale|Partner Programme|Returns Logistics|Europe,European online fashion retailer moving from wholesale-and-hold toward a partner marketplace; free returns are the structural drag on the 40% gross margin
AIM:ASC,ASOS Plc,Owned-Inventory Retail,Consumer Brand,Apparel & Beauty,Commerce Operations,CONSUMER,PAID_ACQUISITION,GMV_RETAIL,DESTINATION,RESALE_INVENTORY,REPEAT_TRANSACTION,AI_NEUTRAL,1,Online Fashion|Apparel E-commerce|Own-Brand Apparel|Fast Fashion|Owned Inventory|Returns Logistics|United Kingdom,"online fashion retailer buying stock and carrying own labels, in a multi-year revenue decline against Shein and Vinted"
NYSE:VIPS,Vipshop Holdings Limited,Owned-Inventory Retail,,Apparel & Beauty,Commerce Operations,CONSUMER,PAID_ACQUISITION,GMV_RETAIL,DESTINATION,RESALE_INVENTORY,REPEAT_TRANSACTION,AI_NEUTRAL,1,Online Retail|Off-Price|Flash Sales|Apparel E-commerce|Owned Inventory|Discount Retail|China,"Chinese off-price retailer selling branded overstock in timed events; buys the stock, so 23% gross margin and a 0.2x revenue multiple"
NASDAQ:BZUN,Baozun Inc.,Commerce Enablement & Fulfilment,Owned-Inventory Retail,Retail & E-commerce,Commerce Operations,LOB,ENT_SALES,SERVICES_LED,AGGREGATOR,MIXED,SUBSCRIPTION,AI_NEUTRAL,0,E-commerce Enablement|Store Operations|Brand E-commerce|Digital Marketing Services|Fulfilment|Omnichannel|China,"runs the China online stores of foreign brands for a service fee, and separately owns the Gap China business; ENTITY NAME READ FROM A PIXELATED CHINESE STRING AND INFERRED FROM THE FINANCIAL FINGERPRINT, CONFIRM BEFORE USE"
NASDAQ:DIBS,"1stdibs.Com, Inc.",Third-Party Marketplace,,Retail & E-commerce,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,NONE,EPISODIC,AI_NEUTRAL,1,Online Marketplace|Luxury Resale|Furniture|Art & Antiques|Third-Party Sellers|High-Ticket|Curated Supply,"curated marketplace for high-ticket design, art and jewellery; low order frequency and a long consideration cycle, so every sale is re-acquired"
NASDAQ:DASH,"DoorDash, Inc.",Local Delivery & On-Demand,,Food & Grocery,Commerce Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,FLEET_OPS,REPEAT_TRANSACTION,AI_EMBEDDED,1,Food Delivery|Local Delivery|On-Demand|Courier Network|Restaurant Marketplace|Grocery Delivery|Subscription Commerce|Retail Media,"three-sided network of diners, restaurants and couriers, monetised on restaurant commission plus consumer fees plus a subscription; density in a postcode is the unit of competitive advantage"
NYSE:UBER,"Uber Technologies, Inc.",Local Delivery & On-Demand,,Horizontal,Commerce Operations,CONSUMER,NETWORK_EFFECT,TAKE_RATE,DESTINATION,FLEET_OPS,REPEAT_TRANSACTION,AI_EXPOSED,1,Ride Hailing|Mobility|Food Delivery|Local Delivery|On-Demand|Courier Network|Freight|Advertising,matches riders with drivers and diners with couriers on the same demand graph; the autonomous-vehicle question is the single largest open variable in its multiple
XTRA:DHER,Delivery Hero SE,Local Delivery & On-Demand,Owned-Inventory Retail,Food & Grocery,Commerce Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,FLEET_OPS,REPEAT_TRANSACTION,AI_NEUTRAL,1,Food Delivery|Local Delivery|Quick Commerce|Dark Stores|Courier Network|Restaurant Marketplace|Emerging Markets,"food delivery across Europe, Asia and the Middle East with an owned-inventory quick-commerce arm; the dark stores are what take the gross margin down to 27%"
SEHK:3690,Meituan,Local Delivery & On-Demand,Classifieds & Listings,Food & Grocery,Commerce Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_NEUTRAL,1,Food Delivery|Local Delivery|On-Demand|Courier Network|Local Services|In-Store Deals|Hotel Booking|Quick Commerce|China,"Chinese local-services super app: food delivery on an owned courier fleet, plus a high-margin in-store deals and hotel booking business that behaves like classifieds"
NSEI:ETERNAL,Eternal Limited,Local Delivery & On-Demand,Owned-Inventory Retail,Food & Grocery,Commerce Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_NEUTRAL,1,Food Delivery|Quick Commerce|Dark Stores|Local Delivery|Courier Network|Grocery Delivery|India|Dining Out,"the renamed Zomato: food delivery plus Blinkit quick commerce, where the owned-inventory dark stores are now the growth engine and the reason revenue is up 73%"
NSEI:SWIGGY,Swiggy Limited,Local Delivery & On-Demand,Owned-Inventory Retail,Food & Grocery,Commerce Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_NEUTRAL,1,Food Delivery|Quick Commerce|Dark Stores|Local Delivery|Courier Network|Grocery Delivery|India|Dining Out,"Indian food delivery with the Instamart quick-commerce arm behind it, running the same dark-store playbook as Blinkit one step later"
NASDAQ:CART,Maplebear Inc.,Local Delivery & On-Demand,Marketing & Customer Engagement,Food & Grocery,Commerce Operations,SMB,NETWORK_EFFECT,TAKE_RATE,AGGREGATOR,MIXED,REPEAT_TRANSACTION,AI_EMBEDDED,1,Grocery Delivery|Local Delivery|On-Demand|Shopper Network|Retail Media|Grocery Technology|Advertising,"Instacart: shops and delivers third-party grocery, but the profit engine is the retail-media business selling brand advertising against the basket, which is why gross margin reads 75%"
NASDAQ:BKNG,Booking Holdings Inc.,Travel Booking & OTA,,Travel,Marketplace Operations,SMB,PAID_ACQUISITION,TAKE_RATE,AGGREGATOR,NONE,EPISODIC,AI_EXPOSED,1,Online Travel|Hotel Booking|Accommodation|Flights|Car Rental|Travel Marketplace|Performance Marketing|Agency Model,"books third-party accommodation for a commission, holds no rooms; the largest buyer of search advertising in the world, and the name most directly in the path of agentic booking"
NASDAQ:EXPE,"Expedia Group, Inc.",Travel Booking & OTA,,Travel,Marketplace Operations,SMB,PAID_ACQUISITION,TAKE_RATE,AGGREGATOR,NONE,EPISODIC,AI_EXPOSED,1,Online Travel|Hotel Booking|Accommodation|Flights|Package Holidays|Vacation Rental|Travel Marketplace|B2B Travel,"hotel, flight and package booking across Expedia, Hotels.com and Vrbo, plus a wholesale B2B arm supplying other travel sellers"
NASDAQ:ABNB,"Airbnb, Inc.",Travel Booking & OTA,Third-Party Marketplace,Travel,Marketplace Operations,CONSUMER,ORGANIC_BRAND,TAKE_RATE,DESTINATION,NONE,EPISODIC,AI_EMBEDDED,1,Vacation Rental|Short-Term Rental|Accommodation|Travel Marketplace|Host Network|Peer-to-Peer|Experiences,"matches guests with hosts who own the property, taking a fee from both sides with the larger share from the guest; direct traffic rather than bought traffic is the structural difference from the OTAs"
NASDAQ:TRIP,"Tripadvisor, Inc.",Classifieds & Listings,Travel Booking & OTA,Travel,Listings & Discovery,SMB,ORGANIC_BRAND,ADVERTISING,AGGREGATOR,NONE,EPISODIC,AI_EXPOSED,1,Travel Reviews|User-Generated Content|Travel Metasearch|Hotel Advertising|Experiences Booking|Restaurant Discovery,"review and discovery surface monetised by selling clicks to the OTAs, with a growing experiences booking business; the review corpus is the asset most exposed to generative answers"
NASDAQ:TCOM,Trip.com Group Limited,Travel Booking & OTA,,Travel,Marketplace Operations,SMB,PAID_ACQUISITION,TAKE_RATE,AGGREGATOR,NONE,EPISODIC,AI_NEUTRAL,1,Online Travel|Hotel Booking|Flights|Travel Marketplace|Outbound Travel|Package Holidays|China|Asia Pacific,dominant Chinese online travel agency with an outbound and international arm under the Trip.com brand
NASDAQ:TRVG,trivago N.V.,Classifieds & Listings,Travel Booking & OTA,Travel,Listings & Discovery,SMB,PAID_ACQUISITION,ADVERTISING,AGGREGATOR,NONE,EPISODIC,AI_EXPOSED,1,Travel Metasearch|Hotel Comparison|Price Comparison|Cost Per Click|Hotel Advertising|Performance Marketing,"hotel metasearch selling clicks to OTAs on a cost-per-click auction, which makes it a reseller of bought traffic and structurally the thinnest business in travel"
NASDAQ:MMYT,MakeMyTrip Limited,Travel Booking & OTA,,Travel,Marketplace Operations,CONSUMER,PAID_ACQUISITION,TAKE_RATE,DESTINATION,NONE,EPISODIC,AI_NEUTRAL,1,Online Travel|Flights|Hotel Booking|Bus Booking|Travel Marketplace|India|Package Holidays,"Indian online travel agency weighted to domestic flights and buses, with hotels the margin-accretive part"
NASDAQ:CARG,"CarGurus, Inc.",Classifieds & Listings,Third-Party Marketplace,Automotive,Listings & Discovery,SMB,ENT_SALES,LISTING_FEE,AGGREGATOR,NONE,EPISODIC,AI_EMBEDDED,1,Auto Classifieds|Car Listings|Dealer Marketing|Vehicle Search|Price Transparency|Instant Offer|Wholesale Auction,"car listings site charging dealers a monthly subscription for placement and leads, with an instant-offer and wholesale arm bolted on"
NYSE:CARS,Cars.com Inc.,Classifieds & Listings,Vertical Software,Automotive,Listings & Discovery,SMB,ENT_SALES,LISTING_FEE,AGGREGATOR,NONE,EPISODIC,AI_NEUTRAL,1,Auto Classifieds|Car Listings|Dealer Marketing|Dealer Software|Vehicle Search|Digital Retailing|Trade-In,"car listings plus a dealer software stack in website, CRM and digital retailing, so part of the revenue prices like vertical SaaS rather than like classifieds"
LSE:AUTO,Autotrader Group plc,Classifieds & Listings,Vertical Software,Automotive,Listings & Discovery,SMB,ENT_SALES,LISTING_FEE,AGGREGATOR,NONE,EPISODIC,AI_EMBEDDED,1,Auto Classifieds|Car Listings|Dealer Marketing|Vehicle Search|Dealer Software|Valuations|United Kingdom,"the UK car listings monopoly, charging dealers a per-forecourt subscription with near-total share of consumer search; the screen carries no gross profit line for it"
NYSE:ATHM,Autohome Inc.,Classifieds & Listings,,Automotive,Listings & Discovery,SMB,ENT_SALES,LISTING_FEE,AGGREGATOR,NONE,EPISODIC,AI_NEUTRAL,0,Auto Classifieds|Car Listings|Dealer Marketing|Auto Advertising|Vehicle Search|Data Products|China,"Chinese car listings and manufacturer advertising business in structural decline; enterprise value is 4% of revenue because the net cash pile is almost the whole market capitalisation, so the multiple is arithmetic rather than a valuation"
NYSE:CVNA,Carvana Co.,Owned-Inventory Retail,Third-Party Marketplace,Automotive,Commerce Operations,CONSUMER,PAID_ACQUISITION,GMV_RETAIL,DESTINATION,RESALE_INVENTORY,EPISODIC,AI_NEUTRAL,1,Online Car Retail|Used Cars|Owned Inventory|Reconditioning|Auto Finance|Home Delivery|Wholesale Auction,"buys, reconditions and sells used cars online and finances them; books the full price of the car as revenue, so 21% gross margin and a revenue multiple that cannot be read against a marketplace"
NASDAQ:ACVA,ACV Auctions Inc.,Third-Party Marketplace,,Automotive,Marketplace Operations,SMB,ENT_SALES,TAKE_RATE,AGGREGATOR,NONE,REPEAT_TRANSACTION,AI_EMBEDDED,1,Wholesale Auction|Dealer-to-Dealer|Used Cars|Vehicle Inspection|Condition Reports|Transportation|Auto Finance,"digital wholesale auction moving cars between dealers, with inspection and transport services attached; never takes title"
NASDAQ:OPEN,Opendoor Technologies Inc.,Owned-Inventory Retail,,Real Estate,Commerce Operations,CONSUMER,PAID_ACQUISITION,GMV_RETAIL,DESTINATION,RESALE_INVENTORY,EPISODIC,AI_NEUTRAL,0,iBuyer|Online Home Sale|Residential Real Estate|Owned Inventory|Instant Offer|Home Renovation|Title & Escrow,"buys homes for cash, holds them and resells them, so revenue is the price of the house and gross margin is 8%; the screen's NTM revenue of 5,955 sits above both the FY+0 and FY+1 figures, so the multiple is not usable"
NYSE:KMX,"CarMax, Inc.",Owned-Inventory Retail,Lending & Credit,Automotive,Commerce Operations,CONSUMER,ORGANIC_BRAND,GMV_RETAIL,DESTINATION,RESALE_INVENTORY,EPISODIC,AI_NEUTRAL,1,Used Cars|Car Superstore|Owned Inventory|Reconditioning|Auto Finance|Wholesale Auction|Omnichannel Retail,"the incumbent used-car retailer with physical superstores and a captive finance arm; the finance book is what the 18.7bn net debt is against, not operating leverage"
NYSE:KAR,"OPENLANE, Inc.",Third-Party Marketplace,Lending & Credit,Automotive,Marketplace Operations,SMB,ENT_SALES,TAKE_RATE,AGGREGATOR,NONE,REPEAT_TRANSACTION,AI_NEUTRAL,1,Wholesale Auction|Dealer-to-Dealer|Used Cars|Off-Lease Vehicles|Floorplan Finance|Transportation|Remarketing,"digital wholesale vehicle marketplace for off-lease and dealer cars, with a floorplan lending arm financing the dealers who buy on it"
NASDAQ:ZG,"Zillow Group, Inc.",Classifieds & Listings,Vertical Software,Real Estate,Listings & Discovery,SMB,ORGANIC_BRAND,LISTING_FEE,DESTINATION,NONE,EPISODIC,AI_EMBEDDED,1,Property Portal|Real Estate Listings|Agent Leads|Residential Real Estate|Rentals Marketplace|Mortgage|Agent Software,"the US property search destination monetised by selling buyer leads to agents, now pushing into rentals, mortgage and agent software"
LSE:RMV,Rightmove plc,Classifieds & Listings,,Real Estate,Listings & Discovery,SMB,NETWORK_EFFECT,LISTING_FEE,DESTINATION,NONE,SUBSCRIPTION,AI_EMBEDDED,1,Property Portal|Real Estate Listings|Estate Agent Subscription|Residential Real Estate|Rentals|Valuation Data|United Kingdom,UK property portal charging estate agents a monthly per-branch subscription regardless of whether anything sells; the purest listing-fee model in the set and the reason it clears 7.9x revenue
XTRA:G24,Scout24 SE,Classifieds & Listings,Vertical Software,Real Estate,Listings & Discovery,SMB,NETWORK_EFFECT,LISTING_FEE,DESTINATION,NONE,SUBSCRIPTION,AI_EMBEDDED,1,Property Portal|Real Estate Listings|Estate Agent Subscription|Residential Real Estate|Agent Software|Valuation Data|Germany,"German property portal on agent subscriptions, with a software and data layer sold to the same agents"
ASX:REA,REA Group Limited,Classifieds & Listings,Vertical Software,Real Estate,Listings & Discovery,SMB,NETWORK_EFFECT,LISTING_FEE,DESTINATION,NONE,SUBSCRIPTION,AI_EMBEDDED,1,Property Portal|Real Estate Listings|Agent Subscription|Residential Real Estate|Depth Products|Mortgage Broking|Australia|India,"Australian property portal with the strongest pricing power in the set, charging vendors and agents for listing prominence; 11.9x revenue is the ceiling of what a listings business clears"
OM:HEM,Hemnet Group AB (publ),Classifieds & Listings,,Real Estate,Listings & Discovery,SMB,NETWORK_EFFECT,LISTING_FEE,DESTINATION,NONE,EPISODIC,AI_NEUTRAL,1,Property Portal|Real Estate Listings|Seller-Paid Listing|Residential Real Estate|Depth Products|Sweden,"Swedish property portal where the home SELLER pays for the listing rather than the agent, so revenue is per property sold and repricing is annual"
NASDAQ:CSGP,"CoStar Group, Inc.",Classifieds & Listings,Financial Data & Index,Real Estate,Listings & Discovery,LOB,ENT_SALES,LISTING_FEE,DESTINATION,NONE,SUBSCRIPTION,AI_EMBEDDED,1,Commercial Real Estate Data|Property Portal|Real Estate Listings|Research Subscription|Apartments|Analytics|Lease Comparables,"commercial property research sold as a seat subscription to brokers and owners, plus the Apartments.com and Homes.com consumer portals it feeds"
NASDAQ:UPWK,Upwork Inc.,Freelance & Services Marketplace,,Recruitment & Work,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,NONE,REPEAT_TRANSACTION,AI_EXPOSED,1,Freelance Marketplace|Talent Marketplace|Contract Work|Escrow Payments|Remote Work|Enterprise Talent|Services Marketplace,"matches businesses with freelancers and takes a fee on the contract value, with an enterprise-managed arm on top; the categories that dominate its volume are the ones generative models do first"
NYSE:FVRR,Fiverr International Ltd.,Freelance & Services Marketplace,,Recruitment & Work,Marketplace Operations,SMB,PAID_ACQUISITION,TAKE_RATE,DESTINATION,NONE,REPEAT_TRANSACTION,AI_EXPOSED,0,Freelance Marketplace|Gig Marketplace|Productised Services|Creative Services|Escrow Payments|Services Marketplace,"productised gig marketplace where the work is bought like a SKU; enterprise value is 8% of revenue because net cash is almost the entire market capitalisation, so the multiple is arithmetic rather than a valuation"
NASDAQ:ANGI,Angi Inc.,Freelance & Services Marketplace,Classifieds & Listings,Home & Field Services,Listings & Discovery,SMB,PAID_ACQUISITION,TAKE_RATE,AGGREGATOR,NONE,EPISODIC,AI_EXPOSED,1,Home Services Marketplace|Contractor Leads|Local Services|Lead Generation|Service Professional Network|Reviews,"sells job leads to home-service contractors, a model that leaks badly once the two sides have met and is exposed to search intermediation"
ASX:SEK,SEEK Limited,Classifieds & Listings,,Recruitment & Work,Listings & Discovery,SMB,NETWORK_EFFECT,LISTING_FEE,DESTINATION,NONE,EPISODIC,AI_EMBEDDED,1,Job Board|Recruitment Marketplace|Employer Listings|Candidate Database|Talent Search|Australia|Asia Pacific,"the Australian and Southeast Asian job board, charging employers per ad with a candidate-database subscription on top"
NSEI:NAUKRI,Info Edge (India) Limited,Classifieds & Listings,,Recruitment & Work,Listings & Discovery,SMB,NETWORK_EFFECT,LISTING_FEE,DESTINATION,NONE,SUBSCRIPTION,AI_EMBEDDED,0,Job Board|Recruitment Marketplace|Employer Subscription|Candidate Database|Matrimony|Property Portal|India,Naukri job board plus 99acres and Jeevansathi; the reported 24.2x revenue is not an operating multiple because the listed Zomato and PolicyBazaar stakes are inside the enterprise value and the associates line is zero
NSEI:JUSTDIAL,Just Dial Limited,Classifieds & Listings,,Horizontal,Listings & Discovery,SMB,NETWORK_EFFECT,LISTING_FEE,AGGREGATOR,NONE,SUBSCRIPTION,AI_EXPOSED,0,Local Search|Business Directory|Local Listings|SMB Advertising|Lead Generation|India,"Indian local business directory selling listing packages to small merchants; enterprise value is negative because net cash exceeds the market capitalisation, so no multiple can be computed"
LSE:MONY,MONY Group plc,Classifieds & Listings,,Financial Services,Listings & Discovery,LOB,PAID_ACQUISITION,TAKE_RATE,AGGREGATOR,NONE,EPISODIC,AI_EXPOSED,1,Price Comparison|Insurance Comparison|Energy Switching|Money Comparison|Lead Generation|Commission Model|United Kingdom,"MoneySuperMarket: price comparison for insurance, energy and credit, paid a commission by the provider on each completed switch"
NASDAQ:MTCH,"Match Group, Inc.",Dating & Social Network,,Dating & Relationships,Content & Community,CONSUMER,PAID_ACQUISITION,SUBSCRIPTION_CONSUMER,DESTINATION,NONE,SUBSCRIPTION,AI_EMBEDDED,1,Dating App|Online Dating|Consumer Subscription|In-App Purchase|Social Discovery|Portfolio of Brands,"portfolio of dating apps led by Tinder and Hinge, monetised on consumer subscriptions and a-la-carte boosts; success removes the user, so the cohort refills constantly"
NASDAQ:BMBL,Bumble Inc.,Dating & Social Network,,Dating & Relationships,Content & Community,CONSUMER,PAID_ACQUISITION,SUBSCRIPTION_CONSUMER,DESTINATION,NONE,SUBSCRIPTION,AI_EMBEDDED,1,Dating App|Online Dating|Consumer Subscription|In-App Purchase|Social Discovery|Women-First,women-first dating app with Badoo alongside; paying-user declines have run ahead of the sector
NYSE:GRND,Grindr Inc.,Dating & Social Network,,Dating & Relationships,Content & Community,CONSUMER,ORGANIC_BRAND,SUBSCRIPTION_CONSUMER,DESTINATION,NONE,SUBSCRIPTION,AI_EMBEDDED,1,Dating App|Online Dating|Consumer Subscription|In-App Purchase|Social Discovery|LGBTQ|Advertising,"dating and social app for gay and bisexual men with near-zero paid acquisition, which is why it grows at 24% while the rest of the category shrinks"
